Date,Latitude,Longitude,value
2016,49.75,13.5,3.7
2016,49.75,13.75,4.1
2016,49.75,14,5.2
2016,49.75,14.25,4.3
2016,49.75,14.5,3.7
2016,49.75,14.75,4.5
2016,49.75,15,3.8
2016,49.75,15.25,4.2
2016,49.75,15.5,3.9
2016,49.5,5.5,5.2
2016,49.5,5.75,6.2
2016,49.5,6,6.8
2016,49.5,6.25,4.9
2016,49.5,6.5,3.8
2016,49.5,6.75,2.2
2016,49.5,7,3.7
2016,49.5,7.25,4.7
2016,49.5,7.5,4.3
2016,49.5,7.75,4.3
2016,49.5,8,6.2
2016,49.5,8.25,3.3
2016,49.5,8.5,5.1
2016,49.5,8.75,2.9
2016,49.5,9,2.6
2016,49.5,9.25,4.9
2016,49.5,9.5,5.1
2016,49.5,9.75,5.4
2016,49.5,10,5.9
2016,49.5,10.25,6.4
2016,49.5,10.5,6.1
2016,49.5,10.75,6.9
2016,49.5,11,3.2
2016,49.5,11.25,2.8
2016,49.5,11.5,3
2016,49.5,11.75,3.6
2016,49.5,12,3.8
2016,49.5,12.25,3.9
2016,49.5,12.5,4.2
2016,49.5,12.75,4.5
2016,49.5,13,4.7
2016,49.5,13.25,5
2016,49.5,13.5,5.1
2016,49.5,13.75,5.3
2016,49.5,14,5.1
2016,49.5,14.25,4.2
2016,49.5,14.5,5.1
2016,49.5,14.75,3.7
2016,49.5,15,4.8
2016,49.5,15.25,4
2016,49.5,15.5,5.3
2016,49.25,5.5,6.8
2016,49.25,5.75,5.4
2016,49.25,6,5.5
2016,49.25,6.25,5.5
2016,49.25,6.5,6
2016,49.25,6.75,5.5
2016,49.25,7,4.9
2016,49.25,7.25,5.7
2016,49.25,7.5,5.1
2016,49.25,7.75,4
2016,49.25,8,3.9
2016,49.25,8.25,5.8
2016,49.25,8.5,6.5
2016,49.25,8.75,6.2
2016,49.25,9,5.5
2016,49.25,9.25,2.8
2016,49.25,9.5,4.1
2016,49.25,9.75,4.1
2016,49.25,10,4.6
2016,49.25,10.25,5.2
2016,49.25,10.5,5.1
2016,49.25,10.75,7
2016,49.25,11,5.3
2016,49.25,11.25,3.4
2016,49.25,11.5,2.7
2016,49.25,11.75,4.4
2016,49.25,12,3
2016,49.25,12.25,3.3
2016,49.25,12.5,3.7
2016,49.25,12.75,3.6
2016,49.25,13,3.9
2016,49.25,13.25,4.2
2016,49.25,13.5,3.9
2016,49.25,13.75,5.3
2016,49.25,14,6.1
2016,49.25,14.25,6
2016,49.25,14.5,5
2016,49.25,14.75,3.5
2016,49.25,15,5.1
2016,49.25,15.25,4.7
2016,49.25,15.5,5.5
2016,49,5.5,5.1
2016,49,5.75,6.2
2016,49,6,5.9
2016,49,6.25,5.7
2016,49,6.5,5.3
2016,49,6.75,6.7
2016,49,7,6.3
2016,49,7.25,5.7
2016,49,7.5,5.1
2016,49,7.75,3.1
2016,49,8,5.4
2016,49,8.25,6.7
2016,49,8.5,5.5
2016,49,8.75,5.6
2016,49,9,6
2016,49,9.25,2.6
2016,49,9.5,2.3
2016,49,9.75,2.4
2016,49,10,4.5
2016,49,10.25,6.3
2016,49,10.5,6.5
2016,49,10.75,5.5
2016,49,11,4
2016,49,11.25,3.6
